id_kabupaten,nama_kabupaten,frekuensi_gempa,depth_mean,mag_max,mag_mean,korban_total,rumah_rusak_total,fasum_rusak_total,cluster_label,risk_score,risk_level,PC1,PC2
IDN.8.5_1,Merangin,0.08527131782945736,0.2570698565704663,0.6239467624858521,0.6132014934632718,0.0,0.0,0.0,0,0.32713905858471043,Tinggi,-0.03205852211321991,0.10176433550351094
IDN.8.6_1,MuaroJambi,0.0013679890560875513,0.0016452780519907867,0.6720463919080006,0.7694364460918018,0.0,0.0,0.0,0,0.32713905858471043,Tinggi,-0.3087141352591092,0.06385635426114622
IDN.8.7_1,Sarolangun,0.03146374829001368,0.27290155514542824,0.7373737587269572,0.6114434064348683,0.0,0.0,0.0,0,0.32713905858471043,Tinggi,-0.07701220641796214,0.14819179623244438
IDN.8.8_1,SungaiPenuh,0.00045599635202918376,0.18657453109575517,0.5017304106780509,0.6608006318230232,0.0,0.0,0.0,0,0.32713905858471043,Tinggi,-0.03757171347268462,0.06397857183590572
IDN.8.9_1,TanjungJabungB,0.0013679890560875513,0.17143797301743993,0.6896155799949069,0.789271820048817,0.0,0.0,0.0,0,0.32713905858471043,Tinggi,-0.20797069512518662,0.19048655430577843
IDN.8.10_1,TanjungJabungT,0.001823985408116735,0.508390918065153,0.6712786080697651,0.7540895577754507,0.0,0.0,0.0,0,0.32713905858471043,Tinggi,0.055543401682746296,0.37802607154590373
IDN.8.11_1,Tebo,0.004103967168262654,0.09860699791598113,0.7275041714481865,0.7392513930722073,0.0,0.0,0.0,0,0.32713905858471043,Tinggi,-0.25495471701401684,0.12106873037671673
IDN.9.2_1,Bandung,0.11582307341541268,0.030120247802193526,0.6515211958019201,0.44452026640928155,0.0,0.0,0.0,1,0.29140905136714823,Sedang,-0.12604419696437918,-0.15045126827886957
IDN.9.1_1,BandungBarat,0.017327861377108983,0.039071024055697,0.7366685555773783,0.47352596013489656,0.0008345503859795535,0.052557544757033246,0.08662790697674419,0,0.32713905858471043,Tinggi,-0.17605382199429076,-0.11392629463825132
IDN.9.3_1,Banjar,0.0,1.0,0.0,0.0,0.00041727519298977677,0.007914927984923947,0.005232558139534884,2,0.0017032857344437438,Rendah,1.1140193898223796,0.009651497564084788
IDN.9.4_1,Bekasi,0.001823985408116735,0.2620927936821323,0.5783470489997521,0.577607671339971,0.0,0.0,0.0,0,0.32713905858471043,Tinggi,0.01566706298983661,0.07857686058095303
IDN.9.5_1,Bogor,0.07432740538075695,0.040025678450087504,0.6364158102816161,0.45676803089599805,0.0,0.0,0.0,1,0.29140905136714823,Sedang,-0.11546551873354938,-0.13545015501488045
IDN.9.6_1,Ciamis,0.0168718650250798,0.17515541207545154,0.6953012763467901,0.5248859904072813,0.007197997079073649,0.2926100417283618,0.31317829457364343,0,0.32713905858471043,Tinggi,-0.08979352887809411,-0.0839399999076178
IDN.9.7_1,Cianjur,0.29958960328317374,0.03726442097481597,0.6819024854729421,0.40155688802106626,0.44434592113498855,0.5047179970386324,0.4325581395348837,0,0.32713905858471043,Tinggi,-0.13940600317184215,-0.39170602789180486
IDN.9.8_1,Cimahi,0.0009119927040583675,0.01678183613030602,0.4318986881750814,0.4497152631629933,0.0,2.6921523758244717e-05,0.0001937984496124031,1,0.29140905136714823,Sedang,-0.01901346392763159,-0.2029582670274419
IDN.9.9_1,Cirebon,0.001823985408116735,0.005429417571569596,0.38078683308476036,0.4585464133435417,0.0,0.0,0.0,1,0.29140905136714823,Sedang,-0.0046689751735059515,-0.21857844537404636
IDN.9.10_1,Depok,0.00045599635202918376,0.49851924975320827,0.3963595661640332,0.522022676274166,0.0,0.0,0.0,0,0.32713905858471043,Tinggi,0.303583230750861,0.14341308608153402
IDN.9.11_1,Garut,0.0870953032375741,0.053591271584583655,0.7702794487872342,0.5099228085760279,0.011005633215105361,0.32270157490913987,0.4007751937984496,0,0.32713905858471043,Tinggi,-0.21157612127209235,-0.1784270599801206
IDN.9.12_1,Indramayu,0.005927952576379389,0.28954362518034776,0.626483411112696,0.6122791792480459,0.0,0.0,0.0,0,0.32713905858471043,Tinggi,-0.006949593675080801,0.13176342039181732
IDN.9.13_1,Karawang,0.017327861377108983,0.06359432638852808,0.591486199964567,0.492539579638513,0.0,0.00044420514201103784,0.0,1,0.29140905136714823,Sedang,-0.09046493732837246,-0.10274668377927665
IDN.9.14_1,KotaBandung,0.0013679890560875513,0.038499506416584395,0.4386034347813104,0.5087302947888837,0.04892551637805133,0.3538161259927312,0.4046511627906977,1,0.29140905136714823,Sedang,-0.04624895500144066,-0.2806642329138941
IDN.9.15_1,KotaBekasi,0.00045599635202918376,0.42941757156959526,0.4621972723772698,0.6087337803603041,0.0,6.730380939561179e-06,0.0,0,0.32713905858471043,Tinggi,0.17892578413588728,0.17434906218885848
IDN.9.16_1,KotaBogor,0.0031919744642042863,0.007192215484416866,0.49561606561978533,0.4360172184587832,0.001616941372835385,0.031255889083322115,0.005813953488372093,1,0.29140905136714823,Sedang,-0.05292379298321792,-0.2075739566199778
