id_kabupaten,nama_kabupaten,frekuensi_gempa,mag_max,mag_mean,depth_mean,cluster_label,risk_score,risk_level,PC1,PC2
IDN.14.10_1,MurungRaya,11.0,6.167175471,5.571908743000001,22.727272727272727,2,0.4079116697611709,Tinggi,0.3149375363380197,-0.11790263575205324
IDN.14.11_1,PalangkaRaya,1.0,4.407199061,4.407199061,14.0,0,0.32755760277329876,Sedang,0.02529236331325302,-0.11552185959236362
IDN.14.12_1,PulangPisau,15.0,6.4013584,5.4011170842,158.66666666666666,2,0.4079116697611709,Tinggi,0.3400301584797182,-0.16296831216567795
IDN.14.13_1,Seruyan,11.0,5.925275213,5.419510074363637,173.27272727272728,2,0.4079116697611709,Tinggi,0.30012496517287,-0.1972675599868796
IDN.14.14_1,Sukamara,2.0,5.999953564,5.885748529000001,72.0,2,0.4079116697611709,Tinggi,0.3407683821762605,-0.17792731411041177
IDN.14.1_1,BaritoSelatan,4.0,5.039248989,4.52850954975,195.5,0,0.32755760277329876,Sedang,0.12582415903356858,-0.18658206957304035
IDN.14.2_1,BaritoTimur,1.0,4.171733129,4.171733129,10.0,0,0.32755760277329876,Sedang,-0.022426599769516997,-0.10735449326975238
IDN.14.3_1,BaritoUtara,6.0,6.304776774,5.113979152,11.166666666666666,2,0.4079116697611709,Tinggi,0.2766268128589001,-0.06983823126123961
IDN.14.4_1,GunungMas,8.0,6.09757343,5.614593027875,129.375,2,0.4079116697611709,Tinggi,0.3299762796906437,-0.18095888986095127
IDN.14.5_1,Kapuas,7.0,6.292867329,5.701886200714286,41.142857142857146,2,0.4079116697611709,Tinggi,0.34338076947089846,-0.13164786761670094
IDN.14.6_1,Katingan,8.0,6.020433707,5.0215680585,184.5,2,0.4079116697611709,Tinggi,0.26798167828981156,-0.16769700751293523
IDN.14.7_1,KotawaringinBarat,8.0,5.819400851,5.354138564875,41.375,2,0.4079116697611709,Tinggi,0.26225236474335845,-0.12917761995342955
IDN.14.8_1,KotawaringinTimur,5.0,5.574165047,5.2588288262,311.2,2,0.4079116697611709,Tinggi,0.27217532642121156,-0.27588051020613963
IDN.14.9_1,Lamandau,4.0,5.764152078,5.46410258025,10.0,2,0.4079116697611709,Tinggi,0.26385643221945265,-0.1247386712389931
