id_kabupaten,nama_kabupaten,luas_wilayah_km2,frekuensi_gempa,mag_max,mag_mean,depth_mean,korban_total,rumah_rusak_total,fasum_rusak_total,cluster_label,risk_score,risk_level,PC1,PC2
IDN.2.4_1,Denpasar,0.0026810119192268557,0.00364797081623347,0.42022389571281665,0.43789706569802384,0.15345330739299612,0.005007302315877321,0.0005115089514066496,0.006395348837209302,2,0.17088705183846617,Sedang,-0.1748960714235409,0.08676724538610267
IDN.2.5_1,Gianyar,0.008187187568574568,0.005927952576379389,0.6308712919897641,0.5586615388217157,0.14666267584555523,0.0,1.3460761879122358e-05,0.0032945736434108527,2,0.17088705183846617,Sedang,0.050088362828664246,0.02876453432914123
IDN.2.6_1,Jembrana,0.01928437174070451,0.010031919744642043,0.5455935765860518,0.4900712678930811,0.09029006013441811,0.00010431879824744419,0.00026248485664288597,0.0031007751937984496,2,0.17088705183846617,Sedang,-0.06329145700144068,0.007807604671680478
IDN.2.7_1,Karangasem,0.019093599925190115,0.21203830369357046,0.648215259198394,0.47283619739285765,0.03081461026735283,0.007928228666805759,0.037461300309597524,0.15290697674418605,2,0.17088705183846617,Sedang,-0.010230619171078592,-0.19723434126980866
IDN.2.8_1,Klungkung,0.007048286073516953,0.005927952576379389,0.4848129398632759,0.49145228171815386,0.1450164621370847,0.0,0.0001278772378516624,0.010271317829457364,2,0.17088705183846617,Sedang,-0.09519551531219095,0.0668692276316489
IDN.2.9_1,Tabanan,0.01940450905940168,0.020063839489284085,0.5781613249798709,0.4544484336847293,0.10815351963211886,0.00015647819737116627,0.00020191142818683537,0.03255813953488372,2,0.17088705183846617,Sedang,-0.062020539760865856,-0.012533684964619901
IDN.3.4_1,Bangka,0.06847534179240831,0.00045599635202918376,0.7061881917008622,0.9300803645353013,0.07587548638132297,0.007302315877321094,0.002389285233544219,0.001937984496124031,0,0.23411391050829283,Tinggi,0.3537953890805773,0.027828778143444716
IDN.3.1_1,BangkaBarat,0.064710950648213,0.001823985408116735,0.7247297308839074,0.8681747780523322,0.017023346303501947,0.0,0.0,0.0,0,0.23411391050829283,Tinggi,0.3117687345432333,-0.028449787575942742
IDN.3.2_1,BangkaSelatan,0.0811381346941125,0.00045599635202918376,0.6683239118374946,0.8802114717499836,0.019455252918287938,0.0,0.0,0.0,0,0.23411391050829283,Tinggi,0.2854284248192781,-0.0030378456161389567
IDN.3.3_1,BangkaTengah,0.049695127632482274,0.00045599635202918376,0.7055019684601388,0.9291765788739361,0.019455252918287938,0.0,0.0,0.0,0,0.23411391050829283,Tinggi,0.33848857046465197,-0.006062938883470773
IDN.3.6_1,Belitung,0.05176387991281757,0.0009119927040583675,0.7279185479231789,0.8976924344576478,0.6780155642023347,0.0,0.0,0.0,0,0.23411391050829283,Tinggi,0.45862172974412985,0.4170480802370943
IDN.3.5_1,BelitungTimur,0.05715943487611482,0.0009119927040583675,0.7256426919226079,0.8687558324243058,0.2130350194552529,0.0,0.0,0.0,0,0.23411391050829283,Tinggi,0.34896944624015125,0.10227714827113848
IDN.3.7_1,Pangkalpinang,0.0022583948987583897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.004522821814907283,Rendah,-0.7894083557863636,0.05773215720006245
IDN.4.1_1,Cilegon,0.003523698523051144,0.00045599635202918376,0.4832430174419586,0.6364519360470171,0.33463035019455256,0.0,2.019114281868354e-05,0.0001937984496124031,2,0.17088705183846617,Sedang,0.03910110336050343,0.22870770195790202
