id_kabupaten,nama_kabupaten,frekuensi_gempa,depth_mean,mag_max,mag_mean,korban_total,rumah_rusak_total,fasum_rusak_total
IDN.11.14_1,KotaMalang,0.0,514.0,0.0,0.0,0.0,0.0,0.0
IDN.11.15_1,KotaMojokerto,0.0,514.0,0.0,0.0,0.0,0.0,0.0
IDN.11.16_1,KotaPasuruan,0.0,514.0,0.0,0.0,0.0,0.0,0.0
IDN.11.17_1,KotaProbolinggo,0.0,514.0,0.0,0.0,0.0,0.0,0.0
IDN.11.18_1,Lamongan,6.0,219.33333333333334,5.698094134,4.066631939333333,0.0,7.0,2.0
IDN.11.19_1,Lumajang,23.0,25.652173913043477,4.708341739,2.864834532,22.0,3481.0,79.0
IDN.11.20_1,Madiun,28.0,31.428571428571427,4.18603409,2.95030362925,0.0,58.0,0.0
IDN.11.21_1,Magetan,7.0,59.285714285714285,3.3013264,2.745540947,0.0,17.0,1.0
IDN.11.22_1,Malang,26.0,62.19230769230769,4.039236855,2.946159302846154,88.0,12170.0,635.0
IDN.11.23_1,Mojokerto,4.0,106.0,4.582403207,3.37532742525,0.0,0.0,0.0
IDN.11.24_1,Nganjuk,39.0,22.82051282051282,4.095326804,2.633171929820513,0.0,1.0,0.0
IDN.11.25_1,Ngawi,17.0,44.88235294117647,5.053441668,3.308960165764706,0.0,0.0,0.0
IDN.11.26_1,Pacitan,20.0,66.2,3.686292428,2.65498689055,3.0,187.0,2.0
IDN.11.27_1,Pamekasan,2.0,12.0,3.44410767,3.166712039,0.0,1.0,0.0
IDN.11.28_1,Pasuruan,12.0,41.833333333333336,3.246605609,2.7320665546666665,0.0,127.0,8.0
IDN.11.29_1,Ponorogo,25.0,59.52,4.59315922,3.18671550716,0.0,13.0,2.0
IDN.11.30_1,Probolinggo,28.0,25.821428571428573,4.14771789,2.8561680360357142,0.0,28.0,3.0
IDN.11.31_1,Sampang,4.0,11.25,5.236389476,3.62628380575,0.0,0.0,0.0
IDN.11.32_1,Sidoarjo,1.0,10.0,3.998160612,3.998160612,0.0,2.0,0.0
IDN.11.33_1,Situbondo,68.0,21.58823529411765,5.771456141,2.928962652647059,25.0,496.0,41.0
IDN.11.34_1,Sumenep,9.0,71.88888888888889,4.717570268,3.317148417666667,48.0,1262.0,26.0
IDN.11.35_1,Surabaya,0.0,514.0,0.0,0.0,1.0,2.0,2.0
IDN.11.36_1,Trenggalek,32.0,64.03125,4.250747167,2.93448123809375,0.0,156.0,19.0
IDN.11.37_1,Tuban,23.0,46.43478260869565,5.300583646,3.274499903130435,0.0,12.0,3.0
IDN.11.38_1,Tulungagung,15.0,92.33333333333333,4.248163645,3.0505309196,2.0,76.0,12.0
IDN.12.1_1,Bengkayang,2.0,282.5,6.229510933,5.2021319375,0.0,0.0,0.0
IDN.12.2_1,KapuasHulu,4.0,98.0,5.860492942,5.082220421,0.0,0.0,0.0
IDN.12.3_1,KayongUtara,2.0,10.0,6.046969746,5.889372402,0.0,0.0,0.0
IDN.12.4_1,Ketapang,10.0,110.2,6.389105118,5.731444709,0.0,0.0,0.0
IDN.12.5_1,KotaPontianak,0.0,514.0,0.0,0.0,0.0,0.0,0.0
IDN.12.6_1,KubuRaya,3.0,256.6666666666667,5.9647897,5.602400179666667,0.0,0.0,0.0
IDN.12.7_1,Landak,4.0,12.75,6.280183663,4.11313535,0.0,0.0,0.0
IDN.12.8_1,Melawi,4.0,126.75,6.140497954,5.94992454375,0.0,0.0,0.0
IDN.12.9_1,Pontianak,0.0,514.0,0.0,0.0,0.0,0.0,0.0
IDN.12.10_1,Sambas,3.0,265.6666666666667,6.297625284,5.606907225333333,0.0,0.0,0.0
IDN.12.11_1,Sanggau,11.0,57.81818181818182,6.127376461,5.049469647727273,0.0,0.0,0.0
IDN.12.12_1,Sekadau,1.0,272.0,5.545678816,5.545678816,0.0,0.0,0.0
IDN.12.13_1,Singkawang,0.0,514.0,0.0,0.0,0.0,0.0,0.0
IDN.12.14_1,Sintang,9.0,207.77777777777777,6.357344464,5.492512260333333,0.0,0.0,0.0
IDN.13.1_1,Balangan,2.0,514.0,5.82021579,5.3780391565,0.0,0.0,0.0
IDN.13.3_1,Banjar,4.0,23.25,4.771098561,4.01572048025,8.0,1176.0,27.0
IDN.13.2_1,BanjarBaru,0.0,514.0,0.0,0.0,0.0,0.0,0.0
IDN.13.4_1,Banjarmasin,0.0,514.0,0.0,0.0,0.0,0.0,0.0
IDN.13.5_1,BaritoKuala,2.0,399.0,6.1958025,5.705637251500001,0.0,0.0,0.0
IDN.13.6_1,HuluSungaiSelatan,1.0,109.0,5.215960869,5.215960869,0.0,0.0,0.0
IDN.13.7_1,HuluSungaiTengah,1.0,19.0,4.2383154,4.2383154,0.0,0.0,0.0
IDN.13.8_1,HuluSungaiUtara,2.0,303.5,6.214212263,5.4708202485,0.0,0.0,0.0
IDN.13.9_1,KotaBaru,7.0,10.285714285714286,6.051960578,5.300278070571429,0.0,0.0,0.0
IDN.13.10_1,Tabalong,6.0,13.333333333333334,4.141807499,3.6255697156666664,0.0,0.0,0.0
IDN.13.11_1,TanahBumbu,2.0,112.0,5.757567637,5.5146378055,0.0,0.0,0.0
IDN.13.12_1,TanahLaut,9.0,58.77777777777778,5.820884071,5.133704643555556,0.0,0.0,0.0
IDN.13.13_1,Tapin,1.0,10.0,5.994796598,5.994796598,0.0,0.0,0.0
IDN.14.1_1,BaritoSelatan,4.0,195.5,5.039248989,4.52850954975,0.0,0.0,0.0
IDN.14.2_1,BaritoTimur,1.0,10.0,4.171733129,4.171733129,0.0,0.0,0.0
IDN.14.3_1,BaritoUtara,6.0,11.166666666666666,6.304776774,5.113979152,0.0,0.0,0.0
IDN.14.4_1,GunungMas,8.0,129.375,6.09757343,5.614593027875,0.0,0.0,0.0
IDN.14.5_1,Kapuas,5.0,53.6,6.292867329,5.806785444800001,0.0,0.0,0.0
IDN.14.6_1,Katingan,5.0,289.2,5.330261619,4.7727610332,0.0,0.0,0.0
IDN.14.7_1,KotawaringinBarat,1.0,266.0,5.112448056,5.112448056,0.0,0.0,0.0
IDN.14.8_1,KotawaringinTimur,5.0,311.2,5.574165047,5.2588288262,0.0,0.0,0.0
IDN.14.9_1,Lamandau,4.0,10.0,5.764152078,5.46410258025,0.0,0.0,0.0
IDN.14.10_1,MurungRaya,11.0,22.727272727272727,6.167175471,5.571908743000001,0.0,0.0,0.0
IDN.14.11_1,PalangkaRaya,1.0,14.0,4.407199061,4.407199061,0.0,0.0,0.0
