id_kabupaten,nama_kabupaten,luas_wilayah_km2,frekuensi_gempa,depth_mean,mag_max,mag_mean
IDN.19.1_1,Ambon,305.3873559173167,195.0,54.48205128205128,6.434484943,3.1717197829589745
IDN.19.2_1,BuruSelatan,4288.49402062309,356.0,162.04494382022472,6.278145024,3.995955993033708
IDN.19.3_1,Buru,4474.792177152489,467.0,20.22698072805139,6.179941501,3.421164514747323
IDN.19.4_1,KepulauanAru,8220.13164312239,150.0,37.593333333333334,7.012966238,4.6481850794733335
IDN.19.5_1,MalukuBaratDaya,4635.028303793827,3433.0,180.5980192251675,7.735718206,4.5125217558025055
IDN.19.6_1,MalukuTengah,8635.54851283554,4898.0,43.461616986525115,7.204240413,3.469622807996529
IDN.19.7_1,MalukuTenggaraBarat,4468.598402560412,1059.0,118.07743153918791,7.1988274,4.548370086680831
IDN.19.8_1,MalukuTenggara,1026.1992230483065,90.0,62.01111111111111,7.1970993,4.527657163244445
IDN.19.9_1,SeramBagianBarat,4513.687657777894,1965.0,20.227480916030533,6.594751327,3.1403770107374047
IDN.2.1_1,Badung,405.56702511096273,430.0,39.31627906976744,6.068425945,3.39102451657907
IDN.2.2_1,Bangli,533.0840798366579,43.0,46.46511627906977,4.65009477,2.8066311780697677
IDN.2.3_1,Buleleng,1344.9229806249762,264.0,26.568181818181817,6.179441483,2.9426336263598483
IDN.2.4_1,Denpasar,128.17529492868297,25.0,69.04,5.656124134,3.1072189622399997
IDN.2.5_1,Gianyar,373.68582131791464,22.0,67.86363636363636,4.985269935,3.087548185318182
IDN.2.6_1,Jembrana,868.4894202297338,37.0,49.891891891891895,4.485530174,2.9950681130000003
IDN.2.7_1,Karangasem,859.9832461027394,669.0,20.45440956651719,5.927501905,2.8723820082869955
IDN.2.8_1,Klungkung,322.9042401690818,149.0,59.04697986577181,5.740930601,3.2848292981409393
IDN.2.9_1,Tabanan,873.8461284480463,83.0,69.42168674698796,4.568745333,2.717110992686747
IDN.20.10_1,Sumbawa,6803.294293564916,2204.0,42.73548094373866,7.0219475,3.1372262666329402
IDN.20.1_1,Bima,4303.919043946234,2546.0,54.57109190887667,6.7189755,3.133566222584446
IDN.20.2_1,Dompu,2333.5205670925916,1324.0,75.48262839879155,6.1679738,3.0941582724735652
IDN.20.3_1,KotaBima,215.67160862880667,24.0,109.33333333333333,4.7120786,2.8579425702499996
IDN.20.4_1,LombokBarat,946.1861992131198,408.0,50.154411764705884,6.387542859,3.2183635407181375
IDN.20.5_1,LombokTengah,1194.4883394668136,525.0,40.08571428571429,5.990411789,2.976903602476191
IDN.20.6_1,LombokTimur,1642.8531990488361,562.0,26.498220640569397,5.401364867,2.9642656439715305
IDN.20.7_1,LombokUtara,829.3769196743145,489.0,34.08997955010225,6.276242558,3.069097391613497
IDN.20.8_1,Mataram,61.599777691351974,27.0,41.96296296296296,3.960295,2.7154740061851856
IDN.20.9_1,SumbawaBarat,1795.0114511686993,611.0,28.754500818330605,6.179797415,3.0418462985630117
IDN.21.10_1,Manggarai,1371.347975651626,356.0,44.00561797752809,6.236253494,3.0257486319719105
IDN.21.11_1,Nagekeo,1474.6623624876445,173.0,84.09248554913295,5.087890999,3.09191068767052
IDN.21.12_1,Ngada,1727.8203424247044,173.0,50.14450867052023,6.206171026,3.1889834108670523
IDN.21.13_1,RoteNdao,1330.2664449891154,59.0,25.796610169491526,4.9484114,3.650587180305085
IDN.21.14_1,SabuRaijua,476.9041262817986,148.0,27.56081081081081,6.18409957,3.6652932543445944
IDN.21.15_1,Sikka,1733.1282902455398,650.0,47.59076923076923,6.438097418,3.307818987336923
IDN.21.16_1,SumbaBaratDaya,1444.4198082871762,1694.0,29.388429752066116,6.402654104,3.3209905105419124
IDN.21.17_1,SumbaBarat,730.524258940102,697.0,21.3558106169297,6.156385551,3.3733270575982783
IDN.21.18_1,SumbaTengah,1865.1773564736366,307.0,35.31270358306189,5.285431883,3.1931542786156353
IDN.21.19_1,SumbaTimur,7197.309827533925,967.0,31.158221302998967,5.7529846,3.2659316392150983
IDN.21.1_1,Alor,2999.55429149021,754.0,93.4867374005305,6.444756212,3.3434694866472148
IDN.21.20_1,TimorTengahSelatan,4071.7912612379387,288.0,25.81597222222222,5.780840766,3.2368088269861115
IDN.21.21_1,TimorTengahUtara,2684.123165797937,279.0,46.75268817204301,5.9035556,3.310140679519713
IDN.21.2_1,Belu,2293.431050899798,352.0,23.792613636363637,6.186596501,3.5452159867045454
IDN.21.3_1,Ende,2116.272800042303,428.0,35.62149532710281,6.16482963,3.0792141859392523
IDN.21.4_1,FloresTimur,1786.4803338713002,526.0,130.1292775665399,6.441255987,3.5584543394733843
IDN.21.5_1,KotaKupang,161.47715025896505,10.0,22.4,4.624723669,3.3374231949
IDN.21.6_1,Kupang,5266.436809891264,1326.0,43.36123680241327,7.086176684,3.3244250569909504
IDN.21.7_1,Lembata,1286.124780716974,548.0,119.03467153284672,6.252400054,3.5002389010145984
IDN.21.8_1,ManggaraiBarat,3208.7395525712222,1177.0,116.86491079014444,5.942366548,3.2211101453576894
IDN.21.9_1,ManggaraiTimur,2455.971657739789,555.0,39.171171171171174,6.263786041,3.32865764950991
IDN.22.10_1,TelukBintuni,20777.5096237639,353.0,20.64872521246459,5.311141624,3.357430702419263
IDN.22.11_1,TelukWondama,6448.148128949643,207.0,15.830917874396135,6.6336514,3.556975463444444
IDN.22.1_1,Fakfak,11016.29608943894,46.0,82.30434782608695,4.8318511,3.681656098521739
IDN.22.2_1,Kaimana,16217.630882905334,689.0,23.268505079825836,6.0244268,4.128410604597968
IDN.22.3_1,KotaSorong,296.91313565119253,136.0,12.992647058823529,4.924148338,3.142817935125
IDN.22.4_1,Manokwari,12885.129988528663,795.0,17.613836477987423,7.5185144,3.664810485791195
IDN.22.5_1,Maybrat,3304.6587940468935,18.0,29.27777777777778,5.340756182,3.4972468146666666
IDN.22.6_1,RajaAmpat,7788.110461541392,325.0,42.00615384615384,6.270892709,3.484436458873846
IDN.22.7_1,SorongSelatan,5659.392913885231,16.0,37.5,5.0086921,3.4903247845625
IDN.22.8_1,Sorong,7791.121226407024,272.0,17.86764705882353,5.379183684,3.329420552422794
IDN.22.9_1,Tambrauw,6473.111864269498,373.0,19.28686327077748,7.902198116,3.9250737944718495
IDN.23.10_1,KepulauanYapen,2438.128479511368,271.0,13.678966789667896,5.728984391,3.6951804769446492
IDN.23.11_1,KotaJayapura,760.7834319945301,387.0,11.506459948320414,5.491328618,3.1153660381679584
IDN.23.12_1,LannyJaya,3705.1454354680404,8.0,56.125,5.200133498,4.143579931
IDN.23.13_1,MamberamoRaya,28959.719812895582,576.0,25.34375,6.938387406,4.0203598100121525
IDN.23.14_1,MamberamoTengah,3098.39730607313,39.0,47.35897435897436,5.088201718,4.031465898410256
IDN.23.16_1,Merauke,44596.84562706616,12.0,127.16666666666667,6.179946667,5.400677774333334
IDN.23.17_1,Mimika,17937.62924415129,93.0,35.774193548387096,5.140884033,4.148311330666667
IDN.23.18_1,Nabire,12310.802025237359,452.0,26.47566371681416,6.346078307,3.6870923047123894
IDN.23.19_1,Nduga,7013.553922599424,49.0,73.38775510204081,5.4252741,4.233640841020408
IDN.23.1_1,Asmat,25244.146643240634,19.0,24.105263157894736,5.794592617,4.551774267526316
IDN.23.20_1,Paniai,4729.907807765217,31.0,74.74193548387096,4.991522668,4.147538376548387
IDN.23.21_1,PegununganBintang,15383.9359915703,88.0,47.36363636363637,6.149364,4.234623225306819
